size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps
45,4,0.6533333333333333,0.10202020202020202,0.08502645502645505,2.602020202020202,0.08844332774281065,0.3333333333333333,9.8,1000.0
45,5,0.5599999999999999,0.08787878787878788,0.10380952380952381,2.9242424242424243,0.04309048762147848,0.4666666666666667,11.8,1000.0
45,6,0.6311111111111111,0.09494949494949495,0.06686067019400353,2.721212121212121,0.0498887651569859,0.4,10.066666666666666,1000.0
45,7,0.6666666666666666,0.10404040404040404,0.081657848324515,2.5898989898989897,0.028109134757052272,0.35555555555555557,8.6,1000.0
45,8,0.5155555555555555,0.08080808080808081,0.04328042328042328,3.1121212121212123,0.06190394789859608,0.4666666666666667,12.73333333333333,1000.0
45,9,0.5644444444444444,0.09090909090909091,0.05855379188712523,2.7767676767676766,0.051830683509735985,0.4444444444444444,10.666666666666666,1000.0
55,0,0.6327272727272727,0.08552188552188553,0.10268660632296997,2.7932659932659933,0.0544241074439846,0.38181818181818183,11.333333333333332,1000.0
55,1,0.6472727272727272,0.08215488215488216,0.04896103896103896,2.758922558922559,0.03170108322575036,0.32727272727272727,11.533333333333333,1000.0
55,2,0.6581818181818182,0.08350168350168351,0.04855699855699856,2.731313131313131,0.033327823236042484,0.32727272727272727,11.066666666666666,1000.0
55,3,0.6545454545454545,0.08350168350168351,0.12634527089072548,2.748148148148148,0.03983436781855755,0.32727272727272727,11.4,1000.0
55,4,0.6363636363636365,0.08552188552188553,0.09832611832611833,2.68013468013468,0.059751551727836305,0.32727272727272727,11.0,1000.0
55,5,0.6363636363636364,0.08686868686868687,0.10596221959858323,2.709090909090909,0.022998382983042766,0.34545454545454546,11.066666666666666,1000.0
55,6,0.6,0.07676767676767676,0.07095238095238096,2.9313131313131313,0.016262312563634813,0.4,13.466666666666665,1000.0
55,7,0.6509090909090909,0.08080808080808081,0.07627705627705628,2.783164983164983,0.05795409982003355,0.32727272727272727,11.866666666666667,1000.0
55,8,0.6799999999999999,0.09023569023569024,0.0732034632034632,2.696969696969697,0.05703413505948409,0.32727272727272727,10.066666666666666,1000.0
55,9,0.6909090909090909,0.08484848484848485,0.036709956709956706,2.727946127946128,0.02816715160878122,0.32727272727272727,9.999999999999998,1000.0
65,0,0.7107692307692307,0.0798076923076923,0.07335775335775334,2.691346153846154,0.015073783032511867,0.2923076923076923,10.933333333333334,1000.0
