gameId,size,#short_cut,#solutions,clustering,shortest_path,transitivity
93,20,0,1728,0.455418193,1.889473684,0.336734694
94,20,0,32304,0.313470418,1.884210526,0.27480916
95,20,0,53976,0.378759019,1.852631579,0.275735294
96,20,0,72576,0.433257576,1.868421053,0.32
97,20,0,18144,0.432705628,1.857894737,0.319587629
98,20,0,16128,0.419621212,1.889473684,0.330960854
99,20,0,6768,0.451246254,1.852631579,0.32
100,20,0,20448,0.368358586,1.889473684,0.31294964
101,20,0,6336,0.54546176,1.826315789,0.331288344
102,20,0,38400,0.413953824,1.9,0.327067669
103,20,0,4656,0.567980353,1.815789474,0.339805825
104,20,0,57312,0.423443223,1.868421053,0.319148936
105,20,0,60624,0.342669553,1.889473684,0.272727273
106,20,0,73944,0.347103175,1.857894737,0.275862069
107,20,0,109440,0.251111111,1.884210526,0.245136187
108,20,0,3720,0.501666667,1.873684211,0.344262295
109,20,0,44352,0.351984127,1.852631579,0.252873563
110,20,0,138240,0.2672114,1.931578947,0.275862069
111,20,0,44208,0.417770563,1.9,0.304511278
112,20,0,41496,0.347079587,1.863157895,0.295918367
113,20,0,5760,0.488892774,1.826315789,0.345047923
114,20,0,15264,0.39984127,1.884210526,0.324626866
115,20,0,20736,0.444481074,1.894736842,0.326086957
116,20,0,44424,0.3546337,1.878947368,0.301158301
117,20,0,49632,0.419520202,1.863157895,0.291666667
118,20,0,29160,0.398560606,1.931578947,0.334532374
119,20,0,30048,0.420238095,1.878947368,0.297794118
120,20,0,8064,0.34991342,1.894736842,0.318181818
121,20,0,32832,0.380108225,1.9,0.330882353
122,20,0,20040,0.375,1.831578947,0.29787234
123,20,0,29952,0.4701221,1.852631579,0.321070234
124,20,0,15792,0.399798535,1.878947368,0.328467153
125,20,0,30672,0.384621212,1.863157895,0.310344828
126,20,0,1944,0.478080808,1.836842105,0.349514563
127,20,0,14688,0.341944444,1.931578947,0.313953488
128,20,0,56520,0.399285714,1.847368421,0.273684211
129,20,0,32064,0.438772894,1.847368421,0.3125
130,20,0,8064,0.352958708,1.852631579,0.301003344
131,20,0,2592,0.501666667,1.805263158,0.330357143
132,20,0,24192,0.426717172,1.884210526,0.311111111
133,20,0,46848,0.342121212,1.868421053,0.297794118
134,20,0,81792,0.331461039,1.821052632,0.250909091
135,20,0,24144,0.331129149,1.847368421,0.27173913
136,20,0,9600,0.567337662,1.847368421,0.348837209
137,20,0,10248,0.407045455,1.857894737,0.319852941
138,20,0,53160,0.364675325,1.831578947,0.269784173
139,20,0,10080,0.394990842,1.863157895,0.315789474
140,20,0,31824,0.363986291,1.852631579,0.289285714
141,20,0,40896,0.317619048,1.905263158,0.286259542
142,20,0,23616,0.251778499,1.863157895,0.253676471
143,20,0,57120,0.400566378,1.905263158,0.307984791
144,20,0,10848,0.33754329,1.857894737,0.297794118
145,20,0,13104,0.436904762,1.878947368,0.342560554
146,20,0,43584,0.342683983,1.884210526,0.306569343
147,20,0,137040,0.320793651,1.889473684,0.266666667
148,20,0,11376,0.40290404,1.910526316,0.349823322
