size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps
15,7,0.4933333333333334,0.21904761904761905,0.2568253968253968,2.4761904761904763,0.0,0.4666666666666667,7.599999999999999,5.133333333333334,1000.0
15,8,0.41333333333333333,0.17142857142857143,0.0,2.5238095238095237,0.0,0.6,8.8,5.2,1000.0
15,9,0.45333333333333337,0.19047619047619047,0.08444444444444445,2.4952380952380953,0.0,0.6,8.2,5.0666666666666655,1000.0
25,0,0.536,0.13666666666666666,0.041333333333333326,2.6233333333333335,0.0,0.48,11.6,7.4,1000.0
25,1,0.48,0.11666666666666667,0.049523809523809526,3.066666666666667,0.0,0.56,13.0,7.666666666666666,1000.0
25,2,0.384,0.11333333333333333,0.11333333333333333,3.0833333333333335,0.0,0.6,15.4,9.066666666666666,1000.0
25,3,0.584,0.13,0.132,2.783333333333333,0.0,0.44,10.4,6.3999999999999995,1000.0
25,4,0.584,0.13333333333333333,0.03447619047619047,2.7066666666666666,0.0,0.4,10.4,6.6,1000.0
25,5,0.4159999999999999,0.12,0.06533333333333334,3.05,0.0,0.56,14.600000000000001,9.066666666666666,1000.0
25,6,0.6,0.15666666666666668,0.1285714285714286,2.56,0.0,0.4,10.0,6.199999999999999,1000.0
25,7,0.3600000000000001,0.10666666666666667,0.0,3.15,0.0,0.68,15.999999999999998,9.533333333333333,1000.0
25,8,0.48,0.13333333333333333,0.11942857142857143,2.8833333333333333,0.0,0.52,13.0,8.066666666666666,1000.0
25,9,0.5199999999999999,0.12,0.064,2.8066666666666666,0.0,0.48,12.000000000000002,7.266666666666666,1000.0
35,0,0.6285714285714286,0.1092436974789916,0.049863945578231296,2.715966386554622,0.0,0.37142857142857144,13.0,8.8,1000.0
35,1,0.5314285714285714,0.08907563025210084,0.05564625850340136,3.0554621848739494,0.0,0.4,16.400000000000002,9.533333333333331,1000.0
35,2,0.5885714285714286,0.11596638655462185,0.05061224489795917,2.608403361344538,0.0,0.42857142857142855,14.399999999999999,8.933333333333334,1000.0
35,3,0.6057142857142858,0.10420168067226891,0.12272108843537417,2.880672268907563,0.0,0.4,13.799999999999999,8.133333333333331,1000.0
35,4,0.5314285714285715,0.0957983193277311,0.07346938775510205,3.0873949579831934,0.0,0.4857142857142857,16.4,10.066666666666666,1000.0
35,5,0.5714285714285714,0.11428571428571428,0.12183673469387753,2.6638655462184873,0.0,0.42857142857142855,15.0,9.4,1000.0
35,6,0.5942857142857143,0.10252100840336134,0.08190476190476191,3.0016806722689076,0.0,0.4,14.2,8.533333333333333,1000.0
35,7,0.5885714285714286,0.09915966386554621,0.0527891156462585,2.8739495798319328,0.0,0.42857142857142855,14.399999999999999,9.399999999999999,1000.0
35,8,0.5885714285714286,0.09747899159663866,0.12040816326530612,2.954621848739496,0.0,0.4,14.399999999999999,9.2,1000.0
35,9,0.46857142857142864,0.09243697478991597,0.05612244897959184,3.0168067226890756,0.0,0.5428571428571428,18.599999999999998,12.2,1000.0
45,0,0.6177777777777778,0.09292929292929293,0.062186948853615524,2.7393939393939393,0.0,0.37777777777777777,17.2,11.066666666666666,1000.0
45,1,0.6222222222222222,0.0898989898989899,0.09523809523809526,2.907070707070707,0.0,0.4222222222222222,17.0,10.466666666666667,1000.0
45,2,0.5822222222222222,0.09696969696969697,0.11201058201058203,2.7333333333333334,0.0,0.4222222222222222,18.8,11.333333333333332,1000.0
45,3,0.64,0.09898989898989899,0.05335097001763668,2.672727272727273,0.0,0.35555555555555557,16.2,9.466666666666665,1000.0
45,4,0.6,0.10202020202020202,0.08502645502645505,2.602020202020202,0.0,0.4,18.0,10.466666666666665,1000.0
45,5,0.5644444444444445,0.08787878787878788,0.10380952380952381,2.9242424242424243,0.0,0.4,19.599999999999998,11.066666666666666,1000.0
45,6,0.5911111111111111,0.09494949494949495,0.06686067019400353,2.721212121212121,0.0,0.4444444444444444,18.4,11.133333333333333,1000.0
45,7,0.6355555555555555,0.10404040404040404,0.081657848324515,2.5898989898989897,0.0,0.35555555555555557,16.400000000000002,9.2,1000.0
