gameId,size,#short_cut,#solutions,clutering,shortest_path,ave_rate,std_rate,median_rate
480,42,0,6,0.4166666666666667,4.10801393728223,25.89,5.236210461774813,22.0
481,42,0,6,0.4682539682539682,4.939605110336817,21.05,10.082038484354241,14.0
482,42,0,6,0.39285714285714296,3.9663182346109176,31.47,3.514128625989664,31.0
483,42,0,6,0.42857142857142855,3.912891986062718,29.64,2.5436980952935433,31.0
484,42,0,6,0.45238095238095244,5.012775842044134,7.82,14.734571592007688,0.0
485,42,0,6,0.4404761904761903,4.111498257839721,26.03,3.553744504040773,25.0
486,42,0,6,0.4166666666666667,3.7305458768873403,31.21,0.407308237088326,31.0
487,42,0,6,0.36904761904761907,3.775842044134727,25.25,8.29743936404479,29.0
488,42,0,6,0.42857142857142855,4.009291521486643,28.54,1.5647363995254917,29.0
489,42,0,6,0.4166666666666667,4.229965156794425,25.45,4.355169342287392,24.0
490,42,0,6,0.4166666666666667,4.13472706155633,27.28,5.362984243870198,31.0
491,42,0,6,0.42857142857142855,3.9814169570267133,20.4,9.226050075736635,28.0
492,42,0,6,0.44047619047619047,4.0894308943089435,23.91,7.730582125558203,26.0
493,42,0,6,0.4285714285714285,4.571428571428571,22.09,9.136842999636144,16.0
494,42,0,6,0.40476190476190477,4.112659698025552,26.19,7.371153234060461,20.0
495,42,0,6,0.4166666666666667,4.0894308943089435,25.47,3.9508353547066473,23.0
496,42,0,6,0.41666666666666674,4.004645760743322,25.11,4.147035085455632,24.0
497,42,0,6,0.44047619047619047,4.380952380952381,18.57,11.297127953599535,11.0
