size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate
32,4,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0

33,4,1.0,0.125,0.5,4.5,0.0,0.0

34,4,0.9995999999999999,0.12121212121212122,0.5,4.636363636363637,0.0019595917942265445,0.0

35,4,1.0,0.1176470588235294,0.5,4.764705882352941,0.0,0.0

36,4,1.0,0.11428571428571428,0.5,4.885714285714286,0.0,0.0

37,4,0.9992,0.1111111111111111,0.5,5.0,0.00271293199325011,0.0

38,4,1.0,0.1081081081081081,0.5,5.135135135135135,0.0,0.0

39,4,1.0,0.10526315789473684,0.5,5.2631578947368425,0.0,0.0

40,4,1.0,0.10256410256410257,0.5,5.384615384615384,0.0,0.0

41,4,0.9992,0.10000000000000002,0.5,5.5,0.00271293199325011,0.0

42,4,0.9996,0.09756097560975611,0.5,5.634146341463414,0.0019595917942265445,0.0

43,4,1.0,0.09523809523809523,0.5,5.761904761904762,0.0,0.0

44,4,1.0,0.09302325581395349,0.5,5.883720930232559,0.0,0.0

45,4,0.9996,0.0909090909090909,0.5,6.0,0.0019595917942265445,0.0

46,4,1.0,0.08888888888888889,0.5,6.133333333333334,0.0,0.0

47,4,1.0,0.08695652173913043,0.5,6.2608695652173925,0.0,0.0

48,4,0.9996,0.0851063829787234,0.5,6.382978723404254,0.0019595917942265445,0.0

49,4,1.0,0.08333333333333334,0.5,6.5,0.0,0.0

50,4,0.9996,0.0816326530612245,0.5,6.632653061224491,0.0019595917942265445,0.0

6,5,0.7539999999999999,0.8000000000000002,0.6666666666666667,1.2,0.04039801975344833,0.0

7,5,0.9283999999999999,0.6666666666666667,0.5,1.3333333333333335,0.02460569039876749,0.0

8,5,0.9707999999999999,0.5714285714285714,0.5,1.4285714285714286,0.01622837022008065,0.0

9,5,0.9828,0.5,0.5,1.5,0.016618062462272806,0.0

10,5,0.9811999999999999,0.4444444444444444,0.5,1.6666666666666665,0.013362634470792065,0.0

11,5,0.9891999999999999,0.4000000000000001,0.5,1.8,0.011973303637676623,0.0

12,5,0.9904,0.3636363636363636,0.5,1.9090909090909092,0.011128342194594855,0.0

13,5,0.9940000000000001,0.33333333333333337,0.5,2.0,0.007483314773547889,0.0

14,5,0.9952000000000001,0.3076923076923077,0.5,2.1538461538461537,0.0064000000000000055,0.0

15,5,0.9956,0.2857142857142857,0.5,2.2857142857142856,0.0075259550888907185,0.0

16,5,0.9964,0.26666666666666666,0.5,2.4,0.005571355310873653,0.0

17,5,0.9976,0.25,0.5,2.5,0.004270831300812529,0.0

18,5,0.9984000000000001,0.2352941176470588,0.5,2.6470588235294117,0.0036660605559646754,0.0

19,5,0.9984000000000001,0.2222222222222222,0.5,2.7777777777777772,0.004630334761116094,0.0

20,5,1.0,0.21052631578947367,0.5,2.894736842105263,0.0,0.0

21,5,0.9996,0.20000000000000004,0.5,3.0,0.0019595917942265445,0.0

22,5,0.9996,0.19047619047619047,0.5,3.142857142857143,0.0019595917942265445,0.0

23,5,0.9996,0.1818181818181818,0.5,3.2727272727272725,0.0019595917942265445,0.0

24,5,1.0,0.17391304347826086,0.5,3.3913043478260874,0.0,0.0

25,5,1.0,0.16666666666666669,0.5,3.5,0.0,0.0

26,5,0.9996,0.16,0.5,3.64,0.0019595917942265445,0.0

27,5,1.0,0.15384615384615385,0.5,3.769230769230769,0.0,0.0

28,5,0.9996,0.14814814814814814,0.5,3.8888888888888884,0.0019595917942265445,0.0

29,5,0.9996,0.14285714285714285,0.5,4.0,0.0019595917942265445,0.0

30,5,0.9992,0.13793103448275862,0.5,4.137931034482759,0.00271293199325011,0.0

31,5,1.0,0.13333333333333333,0.5,4.266666666666667,0.0,0.0

32,5,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0

33,5,0.9996,0.125,0.5,4.5,0.0019595917942265445,0.0

34,5,1.0,0.12121212121212122,0.5,4.636363636363637,0.0,0.0

35,5,0.9992,0.1176470588235294,0.5,4.764705882352941,0.00271293199325011,0.0

36,5,0.9996,0.11428571428571428,0.5,4.885714285714286,0.0019595917942265445,0.0

37,5,0.9996,0.1111111111111111,0.5,5.0,0.0019595917942265445,0.0

38,5,1.0,0.1081081081081081,0.5,5.135135135135135,0.0,0.0

39,5,1.0,0.10526315789473684,0.5,5.2631578947368425,0.0,0.0

40,5,1.0,0.10256410256410257,0.5,5.384615384615384,0.0,0.0

41,5,0.9996,0.10000000000000002,0.5,5.5,0.0019595917942265445,0.0

42,5,0.9992,0.09756097560975611,0.5,5.634146341463414,0.00271293199325011,0.0

43,5,1.0,0.09523809523809523,0.5,5.761904761904762,0.0,0.0

44,5,1.0,0.09302325581395349,0.5,5.883720930232559,0.0,0.0

45,5,1.0,0.0909090909090909,0.5,6.0,0.0,0.0

46,5,1.0,0.08888888888888889,0.5,6.133333333333334,0.0,0.0

47,5,1.0,0.08695652173913043,0.5,6.2608695652173925,0.0,0.0

48,5,1.0,0.0851063829787234,0.5,6.382978723404254,0.0,0.0

49,5,0.9996,0.08333333333333334,0.5,6.5,0.0019595917942265445,0.0

50,5,1.0,0.0816326530612245,0.5,6.632653061224491,0.0,0.0

7,6,1.0,1.0,1.0,1.0,0.0,0.0

8,6,0.9212,0.8571428571428571,0.8,1.1428571428571428,0.03140955268704091,0.0

9,6,0.9848,0.75,0.6666666666666667,1.25,0.010244998779892567,0.0

10,6,0.9956,0.6666666666666667,0.5999999999999999,1.3333333333333335,0.0075259550888907185,0.0

11,6,0.9944,0.6,0.5999999999999999,1.3999999999999997,0.0057131427428342854,0.0

12,6,0.9976,0.5454545454545454,0.5999999999999999,1.4545454545454544,0.004270831300812529,0.0

13,6,0.9992,0.5,0.5999999999999999,1.5,0.00271293199325011,0.0

