size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps
11,12,0.8363636363636364,0.32727272727272727,0.3060606060606061,1.8181818181818181,0.0,0.18181818181818182,1.7999999999999996,0.5999999999999999,0.42426406871192845,4503.95
11,13,0.9090909090909091,0.32727272727272727,0.6655844155844156,1.7636363636363637,0.0,0.09090909090909091,0.9999999999999999,0.3499999999999999,0.3499999999999999,5000.0
11,14,0.7954545454545455,0.32727272727272727,0.25216450216450215,1.690909090909091,0.0,0.2727272727272727,2.2499999999999996,0.7833333333333333,0.4569273330660294,3759.25
12,0,0.7083333333333333,0.30303030303030304,0.09999999999999999,1.9393939393939394,0.0,0.25,3.5,1.2166666666666666,0.6506445810068854,5000.0
12,1,0.7791666666666667,0.30303030303030304,0.3325396825396825,1.8333333333333333,0.0,0.25,2.6500000000000004,0.9166666666666666,0.5036599451138317,4016.8
12,2,0.8333333333333334,0.30303030303030304,0.5075396825396825,1.893939393939394,0.0,0.16666666666666666,1.9999999999999996,0.7333333333333332,0.5261948151328113,5000.0
12,3,0.8791666666666667,0.30303030303030304,0.225,1.9242424242424243,0.0,0.125,1.4499999999999997,0.4833333333333333,0.34022474340856795,3767.95
12,4,0.8666666666666667,0.30303030303030304,0.3281746031746032,1.878787878787879,0.0,0.16666666666666666,1.5999999999999996,0.5666666666666667,0.44357119297884207,5000.0
12,5,0.7916666666666667,0.30303030303030304,0.27777777777777773,1.878787878787879,0.0,0.20833333333333331,2.5,0.8666666666666666,0.5317611646359698,4750.65
12,6,0.9,0.30303030303030304,0.5654761904761905,1.8333333333333333,0.0,0.08333333333333333,1.2,0.39999999999999997,0.3414213562373095,4503.1
12,7,0.9083333333333333,0.30303030303030304,0.5300925925925926,1.8484848484848484,0.0,0.125,1.0999999999999999,0.4,0.2993998339809607,3019.2
12,8,0.8333333333333334,0.30303030303030304,0.5787037037037037,1.7424242424242424,0.0,0.16666666666666666,1.9999999999999996,0.7166666666666666,0.5124972415473664,5000.0
12,9,0.8333333333333334,0.30303030303030304,0.21666666666666667,1.878787878787879,0.0,0.16666666666666666,2.0,0.7,0.4581324563643051,4259.5
12,10,0.85,0.30303030303030304,0.35873015873015873,1.9393939393939394,0.0,0.25,1.7999999999999998,0.6833333333333333,0.40341459481500913,3013.05
12,11,0.8625,0.30303030303030304,0.3753968253968254,1.9242424242424243,0.0,0.16666666666666666,1.6499999999999995,0.5833333333333333,0.3951001420254127,3766.05
12,12,0.9083333333333333,0.30303030303030304,0.44365079365079363,1.7575757575757576,0.0,0.08333333333333333,1.0999999999999996,0.3999999999999999,0.3804737854124364,5000.0
12,13,0.9,0.30303030303030304,0.16071428571428573,1.803030303030303,0.0,0.08333333333333333,1.1999999999999997,0.3999999999999999,0.3121320343559642,3767.05
12,14,0.8500000000000001,0.30303030303030304,0.3361111111111111,1.9090909090909092,0.0,0.16666666666666666,1.7999999999999996,0.6333333333333332,0.4386835646831261,4255.85
13,0,0.7692307692307692,0.28205128205128205,0.3531135531135531,1.9230769230769231,0.0,0.23076923076923078,3.0,1.0499999999999998,0.6132222159503409,5000.0
13,1,0.823076923076923,0.28205128205128205,0.4001831501831502,1.9102564102564104,0.0,0.15384615384615385,2.3000000000000003,0.7833333333333333,0.515145560897515,5000.0
13,2,0.7923076923076923,0.28205128205128205,0.380952380952381,1.9487179487179487,0.0,0.23076923076923078,2.7,0.9333333333333333,0.5669867732056246,5000.0
13,3,0.8,0.28205128205128205,0.254945054945055,1.9487179487179487,0.0,0.23076923076923078,2.6,0.8833333333333334,0.548669543415633,5000.0
13,4,0.7923076923076923,0.28205128205128205,0.2512820512820513,1.9743589743589745,0.0,0.2692307692307693,2.7,0.9166666666666664,0.46607202047739466,3534.0
