size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps
7,2,0.37857142857142867,0.3333333333333333,0.0,2.2857142857142856,0.0,0.5714285714285714,4.35,1.4999999999999998,5000.0

7,3,0.5,0.3333333333333333,0.23809523809523808,2.0952380952380953,0.0,0.5,3.5,1.1666666666666665,5000.0

7,4,0.45000000000000007,0.3333333333333333,0.0,1.9047619047619047,0.0,0.5714285714285714,3.8499999999999996,1.3166666666666664,5000.0

7,5,0.3642857142857143,0.3333333333333333,0.0,2.0952380952380953,0.0,0.6428571428571428,4.449999999999999,1.5166666666666666,5000.0

7,6,0.19999999999999996,0.2857142857142857,0.0,1.9047619047619047,0.0,0.8571428571428571,5.6000000000000005,1.95,5000.0

7,7,0.2785714285714287,0.2857142857142857,0.0,2.4761904761904763,0.0,0.7142857142857143,5.049999999999999,1.7666666666666664,5000.0

7,8,0.5928571428571427,0.3333333333333333,0.33333333333333337,2.142857142857143,0.0,0.42857142857142855,2.8500000000000005,1.0166666666666666,5000.0

7,9,0.5642857142857143,0.38095238095238093,0.14285714285714285,2.0,0.0,0.42857142857142855,3.05,1.05,5000.0

7,10,0.5428571428571428,0.3333333333333333,0.3095238095238096,1.9523809523809523,0.0,0.42857142857142855,3.2,1.0999999999999999,5000.0

7,11,0.65,0.38095238095238093,0.23809523809523808,2.0,0.0,0.2857142857142857,2.4499999999999997,0.9,5000.0

7,12,0.5428571428571428,0.3333333333333333,0.23809523809523808,2.238095238095238,0.0,0.42857142857142855,3.2,1.1166666666666667,5000.0

7,13,0.3285714285714286,0.2857142857142857,0.0,2.380952380952381,0.0,0.6428571428571428,4.699999999999999,1.65,5000.0

7,14,0.2857142857142858,0.3333333333333333,0.0,1.9047619047619047,0.0,0.7142857142857143,4.999999999999999,1.7166666666666663,5000.0

8,0,0.625,0.32142857142857145,0.16666666666666669,1.8928571428571428,0.0,0.375,3.0,0.9999999999999998,5000.0

8,1,0.5625,0.32142857142857145,0.31666666666666665,1.9642857142857142,0.0,0.4375,3.5,1.2833333333333332,5000.0

8,2,0.475,0.2857142857142857,0.1875,2.392857142857143,0.0,0.5,4.2,1.4833333333333332,5000.0

8,3,0.31875,0.2857142857142857,0.0,2.142857142857143,0.0,0.625,5.45,1.8166666666666669,5000.0

8,4,0.28125,0.25,0.0,2.357142857142857,0.0,0.75,5.75,2.033333333333333,5000.0

8,5,0.3125,0.2857142857142857,0.0,2.0,0.0,0.625,5.5,1.9166666666666665,5000.0

8,6,0.26249999999999996,0.25,0.0,2.107142857142857,0.0,0.75,5.9,2.0666666666666664,5000.0

8,7,0.26875000000000004,0.25,0.0,2.2857142857142856,0.0,0.75,5.85,2.0166666666666666,5000.0

8,8,0.32499999999999996,0.2857142857142857,0.0,2.25,0.0,0.625,5.4,1.8833333333333329,5000.0

8,9,0.28125,0.25,0.0,2.25,0.0,0.75,5.75,1.95,5000.0

8,10,0.26249999999999996,0.25,0.0,2.3214285714285716,0.0,0.75,5.9,2.0166666666666666,5000.0

