gameId,size,#solutions,ave_rate,sd_rate
148,20,11376,0.2625,0.06796138609534093
149,20,25056,0.291,0.06339558344238186
150,20,6144,0.3215,0.06255197838597912
151,20,92928,0.3945,0.05739991289191998
152,20,8352,0.262,0.08488816171881684
153,20,218544,0.36649999999999994,0.06521311217845688
154,20,3744,0.286,0.09409569596958194
155,20,7344,0.24400000000000002,0.052573757712379654
156,20,,,
157,20,24336,0.2615,0.06958986995245789
158,20,31104,0.236,0.07248448109768046
159,20,1152,0.1475,0.07048936089935842
160,20,46656,0.37550000000000006,0.0893014557552115
161,20,64224,0.36899999999999994,0.0677421582177598
162,20,57360,0.2795,0.07003392035292612
163,20,,,
164,20,23040,0.3475,0.0739509972887452
165,20,38880,0.32599999999999996,0.07227724399837061
166,20,34584,0.34149999999999997,0.10001374905481746
167,20,11160,0.22399999999999998,0.0690941386804988
168,20,52848,0.31350000000000006,0.07101232287427303
169,20,138912,0.4120000000000001,0.06329296959378664
170,20,29280,0.38,0.07314369419163896
171,20,18768,0.26899999999999996,0.0814800589101407
172,20,47136,0.307,0.060835844697020525
173,20,40200,0.267,0.06132699242584785
174,20,15264,0.2245,0.05408095783175443
175,20,2592,0.21349999999999997,0.08656067236337758
176,20,94080,0.43449999999999994,0.07736116596846251
177,20,35088,0.248,0.0603821165578021
178,20,6528,0.24600000000000002,0.0698856208386246
179,20,14016,0.33399999999999996,0.05517245689653488
180,20,4416,0.2635,0.05909949238360681
181,20,115296,0.4065000000000001,0.056857277458562866
182,20,17160,0.2555,0.06119436248544469
183,20,7296,0.306,0.08924124606929243
184,20,,,
185,20,45456,0.277,0.06723838189605695
186,20,35904,0.3045,0.05877712139940165
187,20,7776,0.28300000000000003,0.05666568626602874
188,20,25248,0.311,0.06347440429023339
189,20,102096,0.3509999999999999,0.0821522975941635
190,20,29952,0.27649999999999997,0.02779838124783527
191,20,24192,0.35749999999999993,0.06179603547154138
192,20,30144,0.33899999999999997,0.058983048412234514
193,20,98232,0.33049999999999996,0.09666824711351707
194,20,12432,0.20199999999999996,0.050950956811427986
195,20,33072,0.2525,0.08377798040058021
196,20,5760,0.2645,0.077231793971136
197,20,48096,0.2975,0.08814051281902098
198,20,19704,0.22849999999999998,0.0768944081191864
199,20,,,
200,20,21120,0.3489999999999999,0.08336066218546971
201,20,20448,0.26849999999999996,0.10090961302076229
202,20,50112,0.4045,0.05526979283478454
203,20,155712,0.434,0.08181686867633105
204,20,432,0.18250000000000002,0.0694172168845741
205,20,37440,0.352,0.059548299723837635
206,20,45984,0.32049999999999995,0.06711743439673482
207,20,4848,0.1735,0.06980508577460527
208,20,12912,0.314,0.06248199740725323
209,20,304320,0.49,0.08276472678623426
210,20,59952,0.38350000000000006,0.11292807445449515
211,20,15552,0.28600000000000003,0.07748548251124206
212,20,66312,0.315,0.07566372975210779
213,20,47328,0.264,0.06406246951218786
214,20,22656,0.3,0.08660254037844388
215,20,67968,0.29850000000000004,0.06612677218797239
216,20,1800,0.14600000000000002,0.04933558553417604
217,20,17664,0.32750000000000007,0.07327175444876423
218,20,7872,0.22150000000000003,0.05208406666150407
219,20,55872,0.36599999999999994,0.06814690014960328
220,20,56448,0.3804999999999999,0.06815240274561125
221,20,60480,0.4065000000000001,0.06350393688583411
