gameId,size,#solutions,clustering,shortest_path,transitivity,completion_rate
128,13,552,0.135,2.2157894736842105,0.12605042016806722,0.8130434782608695
129,19,1440,0.22452380952380951,2.1736842105263157,0.14685314685314685,0.71
130,18,240,0.28202380952380957,2.231578947368421,0.18181818181818182,0.85
131,18,504,0.27309523809523806,2.2157894736842105,0.18045112781954886,0.8166666666666667
132,18,72,0.4249567099567099,2.1157894736842104,0.22641509433962265,0.8666666666666666
133,15,72,0.4465620490620491,2.126315789473684,0.2236024844720497,0.8666666666666666
134,17,114,0.4616666666666667,2.2421052631578946,0.2462686567164179,0.9157894736842105
135,15,42,0.6153571428571428,2.1315789473684212,0.2565789473684211,0.9714285714285713
136,16,1800,0.11666666666666665,2.1473684210526316,0.1048951048951049,0.6253333333333333
137,15,72,0.3579761904761905,2.2526315789473683,0.23076923076923078,0.9083333333333334
138,19,960,0.20313492063492067,2.236842105263158,0.1640625,0.7525000000000001
139,15,228,0.2961904761904762,2.210526315789474,0.17777777777777778,0.8105263157894737
140,18,24,0.3233333333333333,2.1473684210526316,0.20408163265306123,0.9
141,19,192,0.37083333333333324,2.2421052631578946,0.22388059701492538,0.8625
142,15,1728,0.28202380952380957,2.205263157894737,0.15,0.7333333333333333
143,16,240,0.3305952380952381,2.163157894736842,0.17777777777777778,0.85
144,14,654,0.24742063492063493,2.205263157894737,0.18045112781954886,0.7357798165137615
145,19,288,0.16612554112554115,2.1894736842105265,0.17142857142857143,0.7833333333333333
146,14,480,0.2974603174603175,2.1736842105263157,0.1888111888111888,0.74
147,14,48,0.40125541125541125,2.0789473684210527,0.21019108280254778,0.9
148,19,840,0.23238095238095235,2.2526315789473683,0.19285714285714287,0.7
149,17,180,0.24309523809523803,2.2,0.18461538461538463,0.8566666666666667
150,17,72,0.2965873015873016,2.1578947368421053,0.19014084507042253,0.9
151,19,240,0.2547222222222222,2.1842105263157894,0.1875,0.79
152,16,96,0.4613852813852814,2.1157894736842104,0.2155688622754491,0.85
153,18,396,0.15444444444444444,2.205263157894737,0.13953488372093023,0.8196969696969697
154,19,372,0.42638888888888893,2.1736842105263157,0.17266187050359713,0.885483870967742
155,19,234,0.37938034188034186,2.0736842105263156,0.18292682926829268,0.8179487179487179
156,19,624,0.3070238095238095,2.2526315789473683,0.18045112781954886,0.8096153846153846
157,12,72,0.4740259740259741,2.0842105263157893,0.2254335260115607,0.8333333333333334
158,18,48,0.2811111111111111,2.2263157894736842,0.2222222222222222,0.9
159,19,360,0.23726190476190473,2.2263157894736842,0.16279069767441862,0.835
160,13,24,0.3259090909090909,2.0789473684210527,0.20496894409937888,0.9
161,15,492,0.2127777777777778,2.163157894736842,0.13636363636363635,0.8951219512195122
162,19,300,0.3455952380952381,2.221052631578947,0.1956521739130435,0.8099999999999999
163,19,48,0.2434920634920635,2.205263157894737,0.21428571428571427,0.875
164,19,192,0.35118686868686866,2.0736842105263156,0.2,0.75
165,19,30,0.5800865800865801,2.1894736842105265,0.2937062937062937,1.0
166,18,240,0.3380952380952381,2.1315789473684212,0.16216216216216217,0.8300000000000001
167,19,132,0.36829365079365084,2.1526315789473682,0.2054794520547945,0.9363636363636363
168,16,108,0.2051731601731602,2.1473684210526316,0.16783216783216784,0.8777777777777779
169,14,408,0.20936507936507934,2.1052631578947367,0.12857142857142856,0.8294117647058824
170,17,60,0.41507575757575754,2.163157894736842,0.23529411764705882,0.89
171,15,2724,0.12944444444444442,2.2263157894736842,0.09448818897637795,0.7411894273127754
172,17,804,0.26964285714285713,2.163157894736842,0.1323529411764706,0.8126865671641792
173,19,432,0.21337301587301588,2.1842105263157894,0.1643835616438356,0.7666666666666667
174,17,204,0.363095238095238,2.2473684210526317,0.2109375,0.8852941176470589
175,17,48,0.3057142857142857,2.1578947368421053,0.18620689655172415,0.9
176,13,72,0.4080627705627705,2.142105263157895,0.23076923076923078,0.8666666666666666
177,17,444,0.21960317460317463,2.1842105263157894,0.15555555555555556,0.8202702702702703
178,19,36,0.39055555555555554,2.163157894736842,0.2392638036809816,0.8833333333333334
179,19,84,0.4415151515151516,2.110526315789474,0.21951219512195122,0.85
180,16,180,0.2416666666666667,2.236842105263158,0.168,0.8433333333333334
181,19,192,0.45984848484848484,2.1894736842105265,0.24161073825503357,0.85
182,15,360,0.34192640692640697,2.110526315789474,0.15384615384615385,0.86
183,19,144,0.2699999999999999,2.231578947368421,0.2112676056338028,0.8166666666666667
184,19,162,0.2942857142857143,2.1526315789473682,0.1791044776119403,0.8925925925925926
185,15,186,0.31,2.210526315789474,0.19708029197080293,0.8096774193548388
186,14,1464,0.1931746031746032,2.136842105263158,0.10638297872340426,0.6737704918032786
187,17,216,0.32500000000000007,2.294736842105263,0.21428571428571427,0.8
188,19,180,0.31047619047619046,2.163157894736842,0.19708029197080293,0.8566666666666667
189,12,192,0.35478354978354976,2.068421052631579,0.1952662721893491,0.75
190,19,120,0.5304689754689755,2.0526315789473686,0.2254335260115607,0.8699999999999999
191,16,24,0.5464285714285715,2.036842105263158,0.23595505617977527,0.95
192,17,60,0.46160561660561666,2.094736842105263,0.19889502762430938,0.85
193,17,108,0.3408730158730158,2.1157894736842104,0.19480519480519481,0.8722222222222221
194,19,96,0.4954365079365079,2.1473684210526316,0.23684210526315788,0.9
195,14,1332,0.17214285714285713,2.278947368421053,0.1590909090909091,0.6752252252252252
196,18,240,0.2325,2.1842105263157894,0.17518248175182483,0.85
197,18,360,0.289047619047619,2.305263157894737,0.22131147540983606,0.7666666666666667
198,10,288,0.419000999000999,1.9526315789473685,0.1507537688442211,0.7708333333333333
199,16,96,0.358939393939394,2.1210526315789475,0.22929936305732485,0.8
200,15,48,0.38418803418803427,2.1052631578947367,0.22941176470588234,0.85
201,15,576,0.22059523809523807,2.168421052631579,0.11029411764705882,0.79375
202,14,192,0.4443614718614718,2.094736842105263,0.21428571428571427,0.8
